Year,Qtr,Area Type,State,Area,Ownership,Industry,Annual Average Status Code,Annual Average Establishment Count,Annual Average Employment,Annual Total Wages,Annual Average Weekly Wage,Annual Average Pay,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2017,A,County,Alabama,"Autauga County, Alabama",Total Covered,"10 Total, all industries",,870,"10,823","403,973,438",718,"37,327",1.00,1.00
2017,A,County,Alabama,"Baldwin County, Alabama",Total Covered,"10 Total, all industries",,"6,072","71,999","2,542,347,527",679,"35,311",1.00,1.00
2017,A,County,Alabama,"Barbour County, Alabama",Total Covered,"10 Total, all industries",,555,"8,012","286,429,822",688,"35,752",1.00,1.00
2017,A,County,Alabama,"Bibb County, Alabama",Total Covered,"10 Total, all industries",,364,"4,110","163,743,155",766,"39,843",1.00,1.00
2017,A,County,Alabama,"Blount County, Alabama",Total Covered,"10 Total, all industries",,772,"8,327","288,221,287",666,"34,611",1.00,1.00
2017,A,County,Alabama,"Bullock County, Alabama",Total Covered,"10 Total, all industries",,149,"3,003","99,965,806",640,"33,294",1.00,1.00
2017,A,County,Alabama,"Butler County, Alabama",Total Covered,"10 Total, all industries",,488,"6,695","224,687,545",645,"33,562",1.00,1.00
2017,A,County,Alabama,"Calhoun County, Alabama",Total Covered,"10 Total, all industries",,"2,514","44,240","1,722,374,178",749,"38,932",1.00,1.00
2017,A,County,Alabama,"Chambers County, Alabama",Total Covered,"10 Total, all industries",,596,"8,312","306,127,118",708,"36,830",1.00,1.00
2017,A,County,Alabama,"Cherokee County, Alabama",Total Covered,"10 Total, all industries",,402,"5,040","171,463,314",654,"34,022",1.00,1.00
2017,A,County,Alabama,"Chilton County, Alabama",Total Covered,"10 Total, all industries",,766,"9,302","341,739,577",707,"36,739",1.00,1.00
2017,A,County,Alabama,"Choctaw County, Alabama",Total Covered,"10 Total, all industries",,291,"3,439","163,240,243",913,"47,465",1.00,1.00
2017,A,County,Alabama,"Clarke County, Alabama",Total Covered,"10 Total, all industries",,656,"8,058","310,329,453",741,"38,513",1.00,1.00
2017,A,County,Alabama,"Clay County, Alabama",Total Covered,"10 Total, all industries",,210,"4,102","136,829,292",641,"33,356",1.00,1.00
2017,A,County,Alabama,"Cleburne County, Alabama",Total Covered,"10 Total, all industries",,216,"2,140","91,541,546",823,"42,776",1.00,1.00
2017,A,County,Alabama,"Coffee County, Alabama",Total Covered,"10 Total, all industries",,"1,086","15,673","529,870,519",650,"33,809",1.00,1.00
2017,A,County,Alabama,"Colbert County, Alabama",Total Covered,"10 Total, all industries",,"1,290","23,797","1,030,438,947",833,"43,301",1.00,1.00
2017,A,County,Alabama,"Conecuh County, Alabama",Total Covered,"10 Total, all industries",,254,"3,415","121,373,186",684,"35,544",1.00,1.00
